[01-10-24 21:04:00.347] LOG  : General     , 1727809440347> 0> Base.SweetJuice: DisplayCategory, FoodN.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> farming.RedRadishSeed: displaycategory, SurFarm.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> farming.StrewberrieBagSeed: displaycategory, SurFarm.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> farming.StrewberrieSeed: displaycategory, SurFarm.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> farming.TomatoBagSeed: displaycategory, SurFarm.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> farming.TomatoSeed: displaycategory, SurFarm.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> Base.BaitFish: displaycategory, SurFish.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> Base.BrokenFishingNet: displaycategory, SurFish.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> Base.CraftedFishingRod: displaycategory, SurFish.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> Base.CraftedFishingRodTwineLine: displaycategory, SurFish.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> Base.FishingLine: displaycategory, SurFish.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> Base.FishingNet: displaycategory, SurFish.
[01-10-24 21:04:01.182] LOG  : General     , 1727809441182> 0> Base.FishingRod: displaycategory, SurFish.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.FishingRodBreak: displaycategory, SurFish.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.FishingRodTwineLine: displaycategory, SurFish.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.FishingTackle: displaycategory, SurFish.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.FishingTackle2: displaycategory, SurFish.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.TrapBox: displaycategory, SurTrap.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.TrapCage: displaycategory, SurTrap.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.TrapCrate: displaycategory, SurTrap.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.TrapMouse: displaycategory, SurTrap.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.TrapSnare: displaycategory, SurTrap.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.TrapStick: displaycategory, SurTrap.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> farming.BaconBits: displaycategory, SurTrap.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.BlowTorch: displaycategory, Tool.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.Candle: displaycategory, Tool.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.CandleLit: displaycategory, Tool.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.CarBatteryCharger: displaycategory, Tool.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.Crowbar: displaycategory, Tool.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.Extinguisher: displaycategory, Tool.
[01-10-24 21:04:01.183] LOG  : General     , 1727809441183> 0> Base.GardenSaw: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Hammer: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.HammerStone: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.HandTorch: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Jack: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Lighter: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.LugWrench: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Matches: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.MortarPestle: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Needle: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.PipeWrench: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Saw: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Scissors: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Screwdriver: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.SheetRope: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Shovel: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Shovel2: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Sledgehammer: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.Sledgehammer2: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.TinOpener: displaycategory, Tool.
[01-10-24 21:04:01.184] LOG  : General     , 1727809441184> 0> Base.TirePump: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> Base.Torch: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> Base.Umbrella: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> Base.UmbrellaBlack: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> Base.UmbrellaBlue: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> Base.UmbrellaRed: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> Base.UmbrellaWhite: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> Base.WeldingMask: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> Base.Wrench: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> farming.GardeningSprayCigarettes: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> farming.GardeningSprayEmpty: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> farming.GardeningSprayFull: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> farming.GardeningSprayMilk: displaycategory, Tool.
[01-10-24 21:04:01.185] LOG  : General     , 1727809441185> 0> farming.HandShovel: displaycategory, Tool.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> farming.WateredCan: displaycategory, Tool.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> farming.WateredCanFull: displaycategory, Tool.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.BallPeenHammer: displaycategory, Tool.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.Bellows: displaycategory, Tool.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.223Box: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.223Bullets: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.308Box: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.308Bullets: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.556Box: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.556Bullets: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.Bullets38: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.Bullets38Box: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.Bullets44: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.Bullets44Box: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.Bullets45: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.Bullets45Box: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.Bullets9mm: displaycategory, Ammo.
[01-10-24 21:04:01.186] LOG  : General     , 1727809441186> 0> Base.Bullets9mmBox: displaycategory, Ammo.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.ShotgunShells: displaycategory, Ammo.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.ShotgunShellsBox: displaycategory, Ammo.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.223Clip: displaycategory, WepAmmoMag.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.308Clip: displaycategory, WepAmmoMag.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.44Clip: displaycategory, WepAmmoMag.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.45Clip: displaycategory, WepAmmoMag.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.556Clip: displaycategory, WepAmmoMag.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.9mmClip: displaycategory, WepAmmoMag.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.M14Clip: displaycategory, WepAmmoMag.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.Aerosolbomb: displaycategory, WepBomb.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.AerosolbombRemote: displaycategory, WepBomb.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.AerosolbombSensorV1: displaycategory, WepBomb.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.AerosolbombSensorV2: displaycategory, WepBomb.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.AerosolbombSensorV3: displaycategory, WepBomb.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.AerosolbombTriggered: displaycategory, WepBomb.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.FlameTrap: displaycategory, WepBomb.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.FlameTrapRemote: displaycategory, WepBomb.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.FlameTrapSensorV1: displaycategory, WepBomb.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.FlameTrapSensorV2: displaycategory, WepBomb.
[01-10-24 21:04:01.187] LOG  : General     , 1727809441187> 0> Base.FlameTrapSensorV3: displaycategory, WepBomb.
[01-10-24 21:04:01.188] LOG  : General     , 1727809441188> 0> Base.FlameTrapTriggered: displaycategory, WepBomb.
[01-10-24 21:04:01.188] LOG  : General     , 1727809441188> 0> Base.Molotov: displaycategory, WepBomb.
[01-10-24 21:04:01.188] LOG  : General     , 1727809441188> 0> Base.PipeBomb: displaycategory, WepBomb.
[01-10-24 21:04:01.188] LOG  : General     , 1727809441188> 0> Base.PipeBombRemote: displaycategory, WepBomb.
[01-10-24 21:04:01.188] LOG  : General     , 1727809441188> 0> Base.PipeBombSensorV1: displaycategory, WepBomb.
[01-10-24 21:04:01.188] LOG  : General     , 1727809441188> 0> Base.PipeBombSensorV2: displaycategory, WepBomb.
[01-10-24 21:04:01.189] LOG  : General     , 1727809441189> 0> Base.PipeBombSensorV3: displaycategory, WepBomb.
[01-10-24 21:04:01.189] LOG  : General     , 1727809441189> 0> Base.PipeBombTriggered: displaycategory, WepBomb.
[01-10-24 21:04:01.189] LOG  : General     , 1727809441189> 0> Base.SmokeBomb: displaycategory, WepBomb.
[01-10-24 21:04:01.189] LOG  : General     , 1727809441189> 0> Base.SmokeBombRemote: displaycategory, WepBomb.
[01-10-24 21:04:01.189] LOG  : General     , 1727809441189> 0> Base.SmokeBombSensorV1: displaycategory, WepBomb.
[01-10-24 21:04:01.189] LOG  : General     , 1727809441189> 0> Base.SmokeBombSensorV2: displaycategory, WepBomb.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.SmokeBombSensorV3: displaycategory, WepBomb.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.SmokeBombTriggered: displaycategory, WepBomb.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.AssaultRifle: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.AssaultRifle2: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.DoubleBarrelShotgun: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.HuntingRifle: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.Pistol: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.Pistol2: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.Pistol3: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.Revolver: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.Revolver_Long: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.Revolver_Short: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.Shotgun: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.ShotgunSawnoff: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.VarmintRifle: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.DoubleBarrelShotgunSawnoff: displaycategory, WepFire.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.Axe: displaycategory, WepMelee.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.Axe: Icon, Axe.
[01-10-24 21:04:01.190] LOG  : General     , 1727809441190> 0> Base.AxeStone: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.BadmintonRacket: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.Banjo: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.BarBell: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.BaseballBat: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.BaseballBatNails: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.Bayonnet: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.BreadKnife: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.Broom: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.ButterKnife: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.CanoePadel: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.CanoePadelX2: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.Chainsaw: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.ChairLeg: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.ClosedUmbrellaBlack: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.ClosedUmbrellaBlue: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.ClosedUmbrellaRed: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.ClosedUmbrellaWhite: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.ClubHammer: displaycategory, WepMelee.
[01-10-24 21:04:01.191] LOG  : General     , 1727809441191> 0> Base.Drumstick: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.DumbBell: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.FlintKnife: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.Flute: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.Fork: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.GardenFork: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.GardenHoe: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.Golfclub: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.GuitarAcoustic: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.GuitarElectricBassBlack: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.GuitarElectricBassBlue: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.GuitarElectricBassRed: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.GuitarElectricBlack: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.GuitarElectricBlue: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.GuitarElectricRed: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.HandAxe: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.HandFork: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.HandScythe: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.HockeyStick: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.HuntingKnife: displaycategory, WepMelee.
[01-10-24 21:04:01.192] LOG  : General     , 1727809441192> 0> Base.IceHockeyStick: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.IcePick: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.Katana: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.Keytar: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.KitchenKnife: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.LaCrosseStick: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.LeadPipe: displaycategory, CraftMetal.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.LeafRake: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.LetterOpener: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.Machete: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.MeatCleaver: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.Nightstick: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.PickAxe: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.PickAxeHandle: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.PickAxeHandleSpiked: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.Pipe: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.PlankNail: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.Plunger: displaycategory, WepMelee.
[01-10-24 21:04:01.193] LOG  : General     , 1727809441193> 0> Base.Poolcue: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.Rake: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.Saxophone: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.Scalpel: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SmashedBottle: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SnowShovel: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearBreadKnife: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearButterKnife: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearCrafted: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearFork: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearHandFork: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearHuntingKnife: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearIcePick: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearKnife: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearLetterOpener: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearMachete: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearScalpel: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearScissors: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearScrewdriver: displaycategory, WepMelee.
[01-10-24 21:04:01.194] LOG  : General     , 1727809441194> 0> Base.SpearSpoon: displaycategory, WepMelee.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.Spoon: displaycategory, WepMelee.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.Stake: displaycategory, WepMelee.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.TableLeg: displaycategory, WepMelee.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.TennisRacket: displaycategory, WepMelee.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.Trumpet: displaycategory, WepMelee.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.Violin: displaycategory, WepMelee.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.WoodAxe: displaycategory, WepMelee.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.WoodenLance: displaycategory, WepMelee.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.WoodenMallet: displaycategory, WepMelee.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.AmmoStraps: displaycategory, WepPart.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.ChokeTubeFull: displaycategory, WepPart.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.ChokeTubeImproved: displaycategory, WepPart.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.FiberglassStock: displaycategory, WepPart.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.GunLight: displaycategory, WepPart.
[01-10-24 21:04:01.195] LOG  : General     , 1727809441195> 0> Base.IronSight: displaycategory, WepPart.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> Base.Laser: displaycategory, WepPart.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> Base.RecoilPad: displaycategory, WepPart.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> Base.RedDot: displaycategory, WepPart.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> Base.Sling: displaycategory, WepPart.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> Base.x2Scope: displaycategory, WepPart.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> Base.x4Scope: displaycategory, WepPart.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> Base.x8Scope: displaycategory, WepPart.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookAiming1: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookAiming2: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookAiming3: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookAiming4: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookAiming5: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookReloading1: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookReloading2: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookReloading3: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookReloading4: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookReloading5: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookAxe1: displaycategory, LitS.
[01-10-24 21:04:01.196] LOG  : General     , 1727809441196> 0> AdditionalBooks2.BookAxe2: displaycategory, LitS.
[01-10-24 21:04:01.197] LOG  : General     , 1727809441197> 0> AdditionalBooks2.BookAxe3: displaycategory, LitS.
[01-10-24 21:04:01.197] LOG  : General     , 1727809441197> 0> AdditionalBooks2.BookAxe4: displaycategory, LitS.
[01-10-24 21:04:01.197] LOG  : General     , 1727809441197> 0> AdditionalBooks2.BookAxe5: displaycategory, LitS.
[01-10-24 21:04:01.197] LOG  : General     , 1727809441197> 0> AdditionalBooks2.BookBlunt1: displaycategory, LitS.
[01-10-24 21:04:01.197] LOG  : General     , 1727809441197> 0> AdditionalBooks2.BookBlunt2: displaycategory, LitS.
