[24-09-24 16:29:04.625] LOG  : General     , 1727188144625> 0> HuntingMod.HMDeadTurkey: DisplayCategory, FoodP.
[24-09-24 16:29:05.300] LOG  : General     , 1727188145300> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_1: runspeedmodifier, 0.99.
[24-09-24 16:29:05.300] LOG  : General     , 1727188145300> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_1: displaycategory, ClothBack.
[24-09-24 16:29:05.300] LOG  : General     , 1727188145300> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_2: weightreduction, 95.
[24-09-24 16:29:05.300] LOG  : General     , 1727188145300> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_2: weight, 1.
[24-09-24 16:29:05.300] LOG  : General     , 1727188145300> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_2: capacity, 37.
[24-09-24 16:29:05.300] LOG  : General     , 1727188145300> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_2: runspeedmodifier, 0.99.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_2: displaycategory, ClothBack.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_3: weightreduction, 95.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_3: weight, 1.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_3: capacity, 38.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_3: runspeedmodifier, 0.99.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_3: displaycategory, ClothBack.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_1: weightreduction, 95.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_1: weight, 1.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_1: capacity, 36.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_1: runspeedmodifier, 0.99.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_1: displaycategory, ClothBack.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_2: weightreduction, 95.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_2: weight, 1.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_2: capacity, 37.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_2: runspeedmodifier, 0.99.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_2: displaycategory, ClothBack.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_3: weightreduction, 95.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_3: weight, 1.
[24-09-24 16:29:05.301] LOG  : General     , 1727188145301> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_3: capacity, 38.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_3: runspeedmodifier, 0.99.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_3: displaycategory, ClothBack.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_Satchel: weightreduction, 95.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_Satchel: weight, 0.5.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_Satchel: capacity, 16.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_Satchel: canbeequipped, FannyPackBack.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_Satchel: bodylocation, Nose.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_Satchel: clothingitemextra, Bag_Satchel.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_Satchel: clothingitemextraoption, FannyPack_WearBack.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_Satchel: displaycategory, ClothBack.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_UtilityBeltFront: weightreduction, 95.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_UtilityBeltFront: weight, 0.1.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_UtilityBeltFront: capacity, 4.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_UtilityBeltFront: runspeedmodifier, 0.99.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_UtilityBeltFront: displaycategory, ClothBag.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_UtilityBeltFront_Loose: weightreduction, 95.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_UtilityBeltFront_Loose: weight, 0.1.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_UtilityBeltFront_Loose: capacity, 4.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_UtilityBeltFront_Loose: runspeedmodifier, 0.99.
[24-09-24 16:29:05.302] LOG  : General     , 1727188145302> 0> AuthenticZClothing.Bag_UtilityBeltFront_Loose: displaycategory, ClothBag.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_UtilityBeltDesert: weightreduction, 95.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_UtilityBeltDesert: weight, 0.1.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_UtilityBeltDesert: capacity, 4.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_UtilityBeltDesert: runspeedmodifier, 0.99.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_UtilityBeltDesert: displaycategory, ClothBag.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_UtilityBeltDesert_Loose: weightreduction, 95.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_UtilityBeltDesert_Loose: weight, 0.1.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_UtilityBeltDesert_Loose: capacity, 4.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_UtilityBeltDesert_Loose: runspeedmodifier, 0.99.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_UtilityBeltDesert_Loose: displaycategory, ClothBag.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_MilitaryWebbing_AZ: capacity, 6.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_MilitaryWebbing_AZ: weightreduction, 95.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_MilitaryWebbing_AZ: runspeedmodifier, 0.99.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_MilitaryWebbing_AZ: displaycategory, ClothBody.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_MilitaryWebbingTightened_AZ: capacity, 6.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_MilitaryWebbingTightened_AZ: weightreduction, 95.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_MilitaryWebbingTightened_AZ: runspeedmodifier, 0.99.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> AuthenticZClothing.Bag_MilitaryWebbingTightened_AZ: displaycategory, ClothBody.
[24-09-24 16:29:05.303] LOG  : General     , 1727188145303> 0> Base.BookCarpentry1: displayname, Carpentry Vol.1: Beginner.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCarpentry1: DisplayCategory, LitS.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCarpentry2: displayname, Carpentry Vol.2: Intermediate.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCarpentry2: DisplayCategory, LitS.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCarpentry3: displayname, Carpentry Vol.3: Advanced.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCarpentry3: DisplayCategory, LitS.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCarpentry4: displayname, Carpentry Vol.4: Expert.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCarpentry4: DisplayCategory, LitS.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCarpentry5: displayname, Carpentry Vol.5: Master.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCarpentry5: DisplayCategory, LitS.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCooking1: displayname, Cooking Vol.1: Beginner.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCooking1: DisplayCategory, LitS.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCooking2: displayname, Cooking Vol.2: Intermediate.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCooking2: DisplayCategory, LitS.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCooking3: displayname, Cooking Vol.3: Advanced.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCooking3: DisplayCategory, LitS.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCooking4: displayname, Cooking Vol.4: Expert.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCooking4: DisplayCategory, LitS.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCooking5: displayname, Cooking Vol.5: Master.
[24-09-24 16:29:05.304] LOG  : General     , 1727188145304> 0> Base.BookCooking5: DisplayCategory, LitS.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookElectrician1: displayname, Electricity Vol.1: Beginner.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookElectrician1: DisplayCategory, LitS.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookElectrician2: displayname, Electricity Vol.2: Intermediate.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookElectrician2: DisplayCategory, LitS.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookElectrician3: displayname, Electricity Vol.3: Advanced.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookElectrician3: DisplayCategory, LitS.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookElectrician4: displayname, Electricity Vol.4: Expert.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookElectrician4: DisplayCategory, LitS.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookElectrician5: displayname, Electricity Vol.5: Master.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookElectrician5: DisplayCategory, LitS.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookFarming1: displayname, Farming Vol.1: Beginner.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookFarming1: DisplayCategory, LitS.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookFarming2: displayname, Farming Vol.2: Intermediate.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookFarming2: DisplayCategory, LitS.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookFarming3: displayname, Farming Vol.3: Advanced.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookFarming3: DisplayCategory, LitS.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookFarming4: displayname, Farming Vol.4: Expert.
[24-09-24 16:29:05.305] LOG  : General     , 1727188145305> 0> Base.BookFarming4: DisplayCategory, LitS.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFarming5: displayname, Farming Vol.5: Master.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFarming5: DisplayCategory, LitS.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFishing1: displayname, Fishing Vol.1: Beginner.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFishing1: DisplayCategory, LitS.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFishing2: displayname, Fishing Vol.2: Intermediate.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFishing2: DisplayCategory, LitS.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFishing3: displayname, Fishing Vol.3: Advanced.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFishing3: DisplayCategory, LitS.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFishing4: displayname, Fishing Vol.4: Expert.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFishing4: DisplayCategory, LitS.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFishing5: displayname, Fishing Vol.5: Master.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFishing5: DisplayCategory, LitS.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFirstAid1: displayname, FirstAid Vol.1: Beginner.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFirstAid1: DisplayCategory, LitS.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFirstAid2: displayname, FirstAid Vol.2: Intermediate.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFirstAid2: DisplayCategory, LitS.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFirstAid3: displayname, FirstAid Vol.3: Advanced.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFirstAid3: DisplayCategory, LitS.
[24-09-24 16:29:05.306] LOG  : General     , 1727188145306> 0> Base.BookFirstAid4: displayname, FirstAid Vol.4: Expert.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookFirstAid4: DisplayCategory, LitS.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookFirstAid5: displayname, FirstAid Vol.5: Master.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookFirstAid5: DisplayCategory, LitS.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookForaging1: displayname, Foraging Vol.1: Beginner.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookForaging1: DisplayCategory, LitS.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookForaging2: displayname, Foraging Vol.2: Intermediate.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookForaging2: DisplayCategory, LitS.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookForaging3: displayname, Foraging Vol.3: Advanced.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookForaging3: DisplayCategory, LitS.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookForaging4: displayname, Foraging Vol.4: Expert.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookForaging4: DisplayCategory, LitS.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookForaging5: displayname, Foraging Vol.5: Master.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookForaging5: DisplayCategory, LitS.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookMechanic1: displayname, Mechanics Vol.1: Beginner.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookMechanic1: DisplayCategory, LitS.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookMechanic2: displayname, Mechanics Vol.2: Intermediate.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookMechanic2: DisplayCategory, LitS.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookMechanic3: displayname, Mechanics Vol.3: Advanced.
[24-09-24 16:29:05.307] LOG  : General     , 1727188145307> 0> Base.BookMechanic3: DisplayCategory, LitS.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMechanic4: displayname, Mechanics Vol.4: Expert.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMechanic4: DisplayCategory, LitS.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMechanic5: displayname, Mechanics Vol.5: Master.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMechanic5: DisplayCategory, LitS.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMetalWelding1: displayname, Metalwork Vol.1: Beginner.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMetalWelding1: DisplayCategory, LitS.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMetalWelding2: displayname, Metalwork Vol.2: Intermediate.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMetalWelding2: DisplayCategory, LitS.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMetalWelding3: displayname, Metalwork Vol.3: Advanced.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMetalWelding3: DisplayCategory, LitS.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMetalWelding4: displayname, Metalwork Vol.4: Expert.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMetalWelding4: DisplayCategory, LitS.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMetalWelding5: displayname, Metalwork Vol.5: Master.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookMetalWelding5: DisplayCategory, LitS.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookBlacksmith1: displayname, Smithing Vol.1: Beginner.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookBlacksmith1: DisplayCategory, LitS.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookBlacksmith2: displayname, Smithing Vol.2: Intermediate.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookBlacksmith2: DisplayCategory, LitS.
[24-09-24 16:29:05.308] LOG  : General     , 1727188145308> 0> Base.BookBlacksmith3: displayname, Smithing Vol.3: Advanced.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookBlacksmith3: DisplayCategory, LitS.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookBlacksmith4: displayname, Smithing Vol.4: Expert.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookBlacksmith4: DisplayCategory, LitS.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookBlacksmith5: displayname, Smithing Vol.5: Master.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookBlacksmith5: DisplayCategory, LitS.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookTrapping1: displayname, Trapping Vol.1: Beginner.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookTrapping1: DisplayCategory, LitS.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookTrapping2: displayname, Trapping Vol.2: Intermediate.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookTrapping2: DisplayCategory, LitS.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookTrapping3: displayname, Trapping Vol.3: Advanced.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookTrapping3: DisplayCategory, LitS.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookTrapping4: displayname, Trapping Vol.4: Expert.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookTrapping4: DisplayCategory, LitS.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookTrapping5: displayname, Trapping Vol.5: Master.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Base.BookTrapping5: DisplayCategory, LitS.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Radio.RadioMag1: displayname, Raidios USA Magazine Vol. 1.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Radio.RadioMag1: DisplayCategory, LitR.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Radio.RadioMag2: displayname, Raidios USA Magazine Vol. 2.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Radio.RadioMag2: DisplayCategory, LitR.
[24-09-24 16:29:05.309] LOG  : General     , 1727188145309> 0> Radio.RadioMag3: displayname, Raidios USA Magazine Vol. 3.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Radio.RadioMag3: DisplayCategory, LitR.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.FishingMag1: displayname, Angler USA Magazine Vol. 1.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.FishingMag1: DisplayCategory, LitR.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.FishingMag2: displayname, Angler USA Magazine Vol. 2.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.FishingMag2: DisplayCategory, LitR.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.ElectronicsMag1: displayname, Electronics Magazine Vol. 1.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.ElectronicsMag1: DisplayCategory, LitR.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.ElectronicsMag2: displayname, Electronics Magazine Vol. 2.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.ElectronicsMag2: DisplayCategory, LitR.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.ElectronicsMag3: displayname, Electronics Magazine Vol. 3.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.ElectronicsMag3: DisplayCategory, LitR.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.ElectronicsMag4: displayname, How to Use Generators.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.ElectronicsMag4: DisplayCategory, LitR.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.ElectronicsMag5: displayname, Electronics Magazine Vol. 4.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.ElectronicsMag5: DisplayCategory, LitR.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.EngineerMagazine1: displayname, Engineer Magazine Vol. 1.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.EngineerMagazine1: displaycategory, LitR.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.EngineerMagazine2: displayname, Engineer Magazine Vol. 2.
[24-09-24 16:29:05.310] LOG  : General     , 1727188145310> 0> Base.EngineerMagazine2: displaycategory, LitR.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.CookingMag1: displayname, Good Cooking Magazine Vol. 1.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.CookingMag1: DisplayCategory, LitR.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.CookingMag2: displayname, Good Cooking Magazine Vol. 2.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.CookingMag2: DisplayCategory, LitR.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.FarmingMag1: displayname, Farming Almanac.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.FarmingMag1: DisplayCategory, LitR.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.HuntingMag1: displayname, Hunter Magazine Vol. 1.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.HuntingMag1: DisplayCategory, LitR.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.HuntingMag2: displayname, Hunter Magazine Vol. 2.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.HuntingMag2: DisplayCategory, LitR.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.HuntingMag3: displayname, Hunter Magazine Vol. 3.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.HuntingMag3: DisplayCategory, LitR.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.MetalworkMag1: displayname, Metalwork Magazine Vol. 1.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.MetalworkMag1: DisplayCategory, LitR.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.MetalworkMag2: displayname, Metalwork Magazine Vol. 2.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.MetalworkMag2: DisplayCategory, LitR.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.MetalworkMag3: displayname, Metalwork Magazine Vol. 3.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.MetalworkMag3: DisplayCategory, LitR.
[24-09-24 16:29:05.311] LOG  : General     , 1727188145311> 0> Base.MetalworkMag4: displayname, Metalwork Magazine Vol. 4.
