[24-09-24 01:51:15.946] LOG  : General     , 1727135475946> 0> HuntingMod.HMDeadGoose: DisplayCategory, FoodP.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.Hat_PVS15_OFF: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.Hat_PVS15_Harness_ON: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.Hat_PVS15_Harness_OFF: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.Hat_NV18_ON: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.Hat_NV18_OFF: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.Hat_NV18_Harness_ON: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.Hat_NV18_Harness_OFF: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.NV_PVS5: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.NV_PVS5_OFF: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.NV_PNV_57: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.NV_PNV_57_OFF: Insulation, 0.
[24-09-24 01:51:15.976] LOG  : General     , 1727135475976> 0> Base.NV_PVS7: Insulation, 0.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.NV_PVS7_OFF: Insulation, 0.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.NV_PVS21: Insulation, 0.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.NV_PVS21_OFF: Insulation, 0.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.NV_GPNVG_18: Insulation, 0.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.NV_GPNVG_18_OFF: Insulation, 0.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Boots_Heather: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Boots_Bennett: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Boots_James: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Shoes_Lisa: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Boots_Maria: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Tac_Boots: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Boots_Trackstar: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Susie_Boots: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.SET_Boots: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Ashe_Boots: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Mechanic_Boots: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.977] LOG  : General     , 1727135475977> 0> Base.Rose_Shoes: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Nurse_Shoes: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Metro_Boots: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Killa_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Killa_Pants: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Skirt_Nurse: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Wolf_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Pants_Yoga: Insulation, 0.1875.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Turtleneck: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Belly_Turtleneck: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.S_Tank_Top: Insulation, 0.15000000223517418.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Y_Shirts: Insulation, 0.15000000223517418.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Y_Shirts_Long: Insulation, 0.15000000223517418.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Skirt_Office: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Skirt_Office_Long: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Office_Sweater: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Office_Sweater_Long: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.978] LOG  : General     , 1727135475978> 0> Base.Pants_Adidas: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Jacket_Adidas: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Skirt_Heather: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Sweater_Lisa: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Shirts_Bennett: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Leather_Pants_Bennett: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Leather_Jacket_Bennett: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Field_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Shirts_James: Insulation, 0.15000000223517418.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Jeans_James: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Skirt_Lisa: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Leather_Jacket_Harry: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Leather_Vest_Harry: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Shirts_Maria: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Skirt_Maria: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.979] LOG  : General     , 1727135475979> 0> Base.Trench_Coat_Sebastian: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Shirts_Sebastian: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Jeans_Sebastian: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Shirts_Kidman: Insulation, 0.15000000223517418.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Jeans_Kidman: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Susie_Hood: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Susie_Hood_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Suit_Wick: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Suit_Wick_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Suit_Army: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Suit_Army_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Suit_Stew: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Suit_Stew_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Coat_Long: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Coat_Long_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Military_Coat_Long: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Military_Coat_Long_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.980] LOG  : General     , 1727135475980> 0> Base.Suit_Fisher: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Suit_Fisher_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Apron_Side: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Apron_Side_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Star_Cape: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Star_Cape_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Kenobi_Cape: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Kenobi_Cape_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Vader_Cape: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Vader_Helmet: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Vader_Mask: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Adidas_Track_Pants: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Adidas_Track_Pants_Rolled: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Heather_Bomber: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.Heather_Bomber_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.School_Cardigan: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.School_Cardigan_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.981] LOG  : General     , 1727135475981> 0> Base.School_Cardigan_Long: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.School_Cardigan_Long_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Dress_Cardigan: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Dress_Cardigan_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Cardigan_Short: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Cardigan_Short_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Officer_Overcoat: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Officer_Overcoat_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Cropped_Sweater: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Coast_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Coast_Jacket_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Paramedic_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Paramedic_Jacket_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Kawasaki_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Kawasaki_Jacket_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Check_Shirts: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.982] LOG  : General     , 1727135475982> 0> Base.Check_Shirts_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Tac_Check_Shirts: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Tac_Check_Shirts_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Police_Waterproof_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Police_Waterproof_Jacket_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Gunsmith_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Gunsmith_Jacket_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Hot_Pants: Insulation, 0.22500000894069672.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Hot_Pants_Long: Insulation, 0.22500000894069672.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Hot_Pants_High: Insulation, 0.22500000894069672.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Hot_Pants_Fold: Insulation, 0.22500000894069672.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Jeans_Slim: Insulation, 0.22500000894069672.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Adidas_Pad_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Adidas_Pad_Jacket_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Viking_Fire_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.983] LOG  : General     , 1727135475983> 0> Base.Viking_Fire_Jacket_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.984] LOG  : General     , 1727135475984> 0> Base.Skirt_Check: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.984] LOG  : General     , 1727135475984> 0> Base.Rose_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.984] LOG  : General     , 1727135475984> 0> Base.Rose_Jacket_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.984] LOG  : General     , 1727135475984> 0> Base.Rose_Jeans: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.984] LOG  : General     , 1727135475984> 0> Base.Nurse_Dress: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.984] LOG  : General     , 1727135475984> 0> Base.Knit_Dress: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.984] LOG  : General     , 1727135475984> 0> Base.Knit_Dress_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.984] LOG  : General     , 1727135475984> 0> Base.Off_Dress: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.984] LOG  : General     , 1727135475984> 0> Base.Off_Dress_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.985] LOG  : General     , 1727135475985> 0> Base.Cut_Dress: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.985] LOG  : General     , 1727135475985> 0> Base.Cut_Dress_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.985] LOG  : General     , 1727135475985> 0> Base.Bandit_Coat: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.985] LOG  : General     , 1727135475985> 0> Base.Bandit_Coat_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Bandit_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Bandit_Jacket_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.BR_Skirts: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.BR_Skirts_Long: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Pencil_Skirts: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Pencil_Skirts_Long: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Skirts_SC: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Skirts_SC_Long: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Skirts_Side: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Skirts_Side_Long: Insulation, 0.07500000111758709.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Formal_Shirts: Insulation, 0.15000000223517418.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Brig_Shirts: Insulation, 0.15000000223517418.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Shooting_Shirts: Insulation, 0.15000000223517418.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Arm_Warmer: Insulation, 0.15000000223517418.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Black_Long_Shirts: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Hat_MX_Helmet: Insulation, 0.13499999642372132.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Hat_MX_Helmet_Glass: Insulation, 0.13499999642372132.
[24-09-24 01:51:15.986] LOG  : General     , 1727135475986> 0> Base.Sheriff_Jumper: Insulation, 0.27999999523162844.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Police_Jumper: Insulation, 0.27999999523162844.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Jacket_Bomber: Insulation, 0.27999999523162844.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Jacket_Bomber_ON: Insulation, 0.27999999523162844.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Jacket_Polizei: Insulation, 0.27999999523162844.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Jacket_Polizei_ON: Insulation, 0.27999999523162844.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Rabbit_Suit: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Hat_Rabbit: Insulation, 0.13499999642372132.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Rabbit_Suit_Blue: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Hat_Rabbit_Blue: Insulation, 0.13499999642372132.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Rabbit_Suit_Green: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Hat_Rabbit_Green: Insulation, 0.13499999642372132.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Rabbit_Suit_Grey: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Hat_Rabbit_Grey: Insulation, 0.13499999642372132.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Rabbit_Suit_Purple: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Hat_Rabbit_Purple: Insulation, 0.13499999642372132.
[24-09-24 01:51:15.987] LOG  : General     , 1727135475987> 0> Base.Rabbit_Suit_Yellow: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.988] LOG  : General     , 1727135475988> 0> Base.Hat_Rabbit_Yellow: Insulation, 0.13499999642372132.
[24-09-24 01:51:15.988] LOG  : General     , 1727135475988> 0> Base.USCM_Jacket: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.988] LOG  : General     , 1727135475988> 0> Base.USCM_Jacket_ON: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.988] LOG  : General     , 1727135475988> 0> Base.USCM_Pants: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.988] LOG  : General     , 1727135475988> 0> Base.USCM_Pants_Rolled: Insulation, 0.26249999552965164.
[24-09-24 01:51:15.988] LOG  : General     , 1727135475988> 0> Base.USCM_Boots: Insulation, 0.6000000000000001.
[24-09-24 01:51:15.988] LOG  : General     , 1727135475988> 0> Base.USCM_Helmet: Insulation, 0.3374999910593033.
[24-09-24 01:51:15.988] LOG  : General     , 1727135475988> 0> Base.USCM_Armor: Insulation, 0.19499999284744263.
[24-09-24 01:51:15.989] LOG  : General     , 1727135475989> 0> Base.Sports_Bra: Insulation, 0.06000000089406967.
[24-09-24 01:51:15.989] LOG  : General     , 1727135475989> 0> Base.Bloodsucker: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.989] LOG  : General     , 1727135475989> 0> Base.SH_Nurse: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.989] LOG  : General     , 1727135475989> 0> Base.SH_Nurse_2: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.989] LOG  : General     , 1727135475989> 0> Base.Light_Woman: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.989] LOG  : General     , 1727135475989> 0> Base.SH_Closer: Insulation, 0.29700000286102296.
[24-09-24 01:51:15.989] LOG  : General     , 1727135475989> 0> Loading recipes....
[24-09-24 01:51:16.007] LOG  : General     , 1727135476007> 0> Warning: Radio worldsprite not valid, sprite = appliances_radio_01_8.
[24-09-24 01:51:16.007] LOG  : General     , 1727135476007> 0> Item -> Radio item = Radio.RadioRed.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Warning: Radio worldsprite not valid, sprite = appliances_radio_01_0.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Item -> Radio item = Radio.RadioBlack.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Warning: Radio worldsprite not valid, sprite = appliances_com_01_16.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Item -> Radio item = Radio.WalkieTalkie1.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Warning: Radio worldsprite not valid, sprite = appliances_com_01_24.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Item -> Radio item = Radio.WalkieTalkie2.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Warning: Radio worldsprite not valid, sprite = appliances_com_01_32.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Item -> Radio item = Radio.WalkieTalkie3.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Warning: Radio worldsprite not valid, sprite = appliances_com_01_40.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Item -> Radio item = Radio.WalkieTalkie4.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Warning: Radio worldsprite not valid, sprite = appliances_com_01_48.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Item -> Radio item = Radio.WalkieTalkie5.
[24-09-24 01:51:16.008] LOG  : General     , 1727135476008> 0> Warning: Radio worldsprite not valid, sprite = appliances_com_01_0.
[24-09-24 01:51:16.009] LOG  : General     , 1727135476009> 0> Item -> Radio item = Radio.HamRadio1.
[24-09-24 01:51:16.009] LOG  : General     , 1727135476009> 0> Warning: Radio worldsprite not valid, sprite = appliances_com_01_8.
[24-09-24 01:51:16.009] LOG  : General     , 1727135476009> 0> Item -> Radio item = Radio.HamRadio2.
[24-09-24 01:51:16.009] LOG  : General     , 1727135476009> 0> Warning: Radio worldsprite not valid, sprite = appliances_television_01_8.
[24-09-24 01:51:16.009] LOG  : General     , 1727135476009> 0> Item -> Radio item = Radio.TvAntique.
[24-09-24 01:51:16.009] LOG  : General     , 1727135476009> 0> Warning: Radio worldsprite not valid, sprite = appliances_television_01_0.
[24-09-24 01:51:16.009] LOG  : General     , 1727135476009> 0> Item -> Radio item = Radio.TvWideScreen.
[24-09-24 01:51:16.009] LOG  : General     , 1727135476009> 0> Warning: Radio worldsprite not valid, sprite = appliances_television_01_4.
[24-09-24 01:51:16.009] LOG  : General     , 1727135476009> 0> Item -> Radio item = Radio.TvBlack.
[24-09-24 01:51:16.038] LOG  : General     , 1727135476038> 0> Warning: Moveable not valid.
[24-09-24 01:51:16.045] LOG  : General     , 1727135476045> 0> Warning: Moveable not valid.
[24-09-24 01:51:16.045] LOG  : General     , 1727135476045> 0> Warning: Moveable not valid.
[24-09-24 01:51:16.047] LOG  : General     , 1727135476047> 0> Warning: Moveable not valid.
[24-09-24 01:51:16.047] LOG  : General     , 1727135476047> 0> Warning: Moveable not valid.
[24-09-24 01:51:16.047] LOG  : General     , 1727135476047> 0> Warning: Moveable not valid.
[24-09-24 01:51:16.047] LOG  : General     , 1727135476047> 0> Warning: Moveable not valid.
[24-09-24 01:51:16.048] LOG  : General     , 1727135476048> 0> Warning: Moveable not valid.
[24-09-24 01:51:16.048] LOG  : General     , 1727135476048> 0> Warning: Moveable not valid.
[24-09-24 01:51:16.048] LOG  : General     , 1727135476048> 0> Warning: Moveable not valid.
[24-09-24 01:51:16.066] LOG  : General     , 1727135476066> 0> Warning: Radio worldsprite not valid, sprite = appliances_com_01_16.
[24-09-24 01:51:16.066] LOG  : General     , 1727135476066> 0> Item -> Radio item = Radio.WalkieTalkie1.
[24-09-24 01:51:16.067] LOG  : General     , 1727135476067> 0> Warning: Radio worldsprite not valid, sprite = appliances_com_01_24.
[24-09-24 01:51:16.067] LOG  : General     , 1727135476067> 0> Item -> Radio item = Radio.WalkieTalkie2.
[24-09-24 01:51:16.067] LOG  : General     , 1727135476067> 0> Warning: Radio worldsprite not valid, sprite = appliances_com_01_32.
[24-09-24 01:51:16.067] LOG  : General     , 1727135476067> 0> Item -> Radio item = Radio.WalkieTalkie3.
