[12-10-24 12:05:02.576] LOG  : General     , 1728727502576> 0> RuggedRecipes.HoochMash: DisplayCategory, FoodP.
[12-10-24 12:05:03.298] LOG  : General     , 1728727503298> 0> Base.Mov_PaintingElisa: displaycategory, Furn.
[12-10-24 12:05:03.298] LOG  : General     , 1728727503298> 0> Base.Mov_PosterDroids: displaycategory, Furn.
[12-10-24 12:05:03.298] LOG  : General     , 1728727503298> 0> Base.Mov_PosterPaws: displaycategory, Furn.
[12-10-24 12:05:03.298] LOG  : General     , 1728727503298> 0> Base.Mov_PosterOmega: displaycategory, Furn.
[12-10-24 12:05:03.298] LOG  : General     , 1728727503298> 0> Base.Mov_PosterElement: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_PosterPieRed: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_PosterPieBlue: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_PosterPiePink: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_PosterPieGreen: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_SignCitrus: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_SignArmy: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_SignRestricted: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_SignWarning: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_MobileBloodbag: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_PinkFlamingo: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_GardenGnome: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_CoffeeMaker: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_Espresso: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_Projector: displaycategory, Furn.
[12-10-24 12:05:03.299] LOG  : General     , 1728727503299> 0> Base.Mov_FridgeMini: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_CabinetMedical: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_TowelDispenser: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_Urinal: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_AirConditioner: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_BeachChair: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_GraveRound: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_GraveArched: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_GraveSquare: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_GraveWorn: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_Doghouse: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_ShoppingBaskets: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_Mailbox: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_BinRound: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_Birdbath: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_SatelliteDish: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_RoadCone: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.Mov_RoadCone2: displaycategory, Furn.
[12-10-24 12:05:03.300] LOG  : General     , 1728727503300> 0> Base.brokenglass_1_0: displaycategory, Furn.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.brokenglass_1_1: displaycategory, Furn.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.brokenglass_1_2: displaycategory, Furn.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.brokenglass_1_3: displaycategory, Furn.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.Mov_HotdogMachine: displaycategory, Furn.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.Mov_PopcornMachine: displaycategory, Furn.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.Mov_SodaMachine: displaycategory, Furn.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.Mov_NapkinDispenser: displaycategory, Furn.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.Mov_WaterDispenser: displaycategory, Furn.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.Baseball: displaycategory, Junk.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.Basketball: displaycategory, Junk.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.Bell: displaycategory, Junk.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.Bricktoys: displaycategory, Junk.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.Button: displaycategory, Junk.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.CatToy: displaycategory, Junk.
[12-10-24 12:05:03.301] LOG  : General     , 1728727503301> 0> Base.ChessBlack: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.ChessWhite: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Cologne: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Comb: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Corkscrew: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Crayons: displaycategory, LitW.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.CreditCard: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Cube: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Dart: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.DogChew: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Doll: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.TinCanEmpty: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Football: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Football2: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Frame: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.GolfBall: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.KnittingNeedles: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Lamp: displaycategory, Junk.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Lipstick: displaycategory, Appear.
[12-10-24 12:05:03.302] LOG  : General     , 1728727503302> 0> Base.Male_Undies: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.Mirror: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.Money: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.Perfume: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.PoolBall: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.PopEmpty: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.Razor: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.RubberBand: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.Rubberducky: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.Rubberducky2: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.Sponge: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.TennisBall: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.Toothbrush: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.Toothpaste: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.ToyBear: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.ToyCar: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.UnusableMetal: displaycategory, Junk.
[12-10-24 12:05:03.303] LOG  : General     , 1728727503303> 0> Base.Wallet: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.Wallet2: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.Wallet3: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.Wallet4: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.Yoyo: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.BeerCanEmpty: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.CameraFilm: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.Chopsticks: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.Cork: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.Doodle: displaycategory, LitW.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.FountainCup: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.GrillBrush: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.KatePic: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.Leash: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.MetalDrum: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.OvenMitt: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.PaperNapkins: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.Pinecone: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.PlasticTray: displaycategory, Junk.
[12-10-24 12:05:03.304] LOG  : General     , 1728727503304> 0> Base.Plate: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.PlateBlue: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.PlateFancy: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.PlateOrange: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.Pop2Empty: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.Pop3Empty: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.SoccerBall: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.Spatula: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.Straw: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.Tongs: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.WaterDish: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.CarvingFork: displaycategory, WepMelee.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.GamePieceBlack: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.GamePieceRed: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.GamePieceWhite: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.HolePuncher: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.KitchenTongs: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.PokerChips: displaycategory, Junk.
[12-10-24 12:05:03.305] LOG  : General     , 1728727503305> 0> Base.Stapler: displaycategory, Junk.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.Staples: displaycategory, Junk.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.BackgammonBoard: displaycategory, Junk.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.CheckerBoard: displaycategory, Junk.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.CuttingBoardPlastic: displaycategory, Junk.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.CuttingBoardWooden: displaycategory, Junk.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.CarKey: displaycategory, Key.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.Key1: displaycategory, Key.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.Key2: displaycategory, Key.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.Key3: displaycategory, Key.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.Key4: displaycategory, Key.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.Key5: displaycategory, Key.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.MarchRidgeMap: displaycategory, LitC.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.MuldraughMap: displaycategory, LitC.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.RiversideMap: displaycategory, LitC.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.RosewoodMap: displaycategory, LitC.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.WestpointMap: displaycategory, LitC.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.Map: displaycategory, LitC.
[12-10-24 12:05:03.306] LOG  : General     , 1728727503306> 0> Base.LouisvilleMap1: displaycategory, LitC.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.LouisvilleMap2: displaycategory, LitC.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.LouisvilleMap3: displaycategory, LitC.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.LouisvilleMap4: displaycategory, LitC.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.LouisvilleMap5: displaycategory, LitC.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.LouisvilleMap6: displaycategory, LitC.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.LouisvilleMap7: displaycategory, LitC.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.LouisvilleMap8: displaycategory, LitC.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.LouisvilleMap9: displaycategory, LitC.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.Eraser: displaycategory, LitW.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.Journal: displaycategory, LitW.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.Notebook: displaycategory, LitW.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.Pencil: displaycategory, LitW.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.SheetPaper2: displaycategory, LitW.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.BigGasTank1: displaycategory, Mech.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.BigGasTank1: Icon, CarGasTankSupStandard.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.BigGasTank2: displaycategory, Mech.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.BigGasTank2: Icon, CarGasTankSupHeavy.
[12-10-24 12:05:03.307] LOG  : General     , 1728727503307> 0> Base.BigGasTank3: displaycategory, Mech.
[12-10-24 12:05:03.308] LOG  : General     , 1728727503308> 0> Base.BigGasTank3: Icon, CarGasTankSupSport.
[12-10-24 12:05:03.308] LOG  : General     , 1728727503308> 0> Base.BigTrunk1: displaycategory, Mech.
[12-10-24 12:05:03.308] LOG  : General     , 1728727503308> 0> Base.BigTrunk2: displaycategory, Mech.
[12-10-24 12:05:03.308] LOG  : General     , 1728727503308> 0> Base.BigTrunk3: displaycategory, Mech.
[12-10-24 12:05:03.308] LOG  : General     , 1728727503308> 0> Base.CarBattery1: displaycategory, Mech.
[12-10-24 12:05:03.308] LOG  : General     , 1728727503308> 0> Base.CarBattery1: Icon, CarBatteryStandard.
[12-10-24 12:05:03.308] LOG  : General     , 1728727503308> 0> Base.CarBattery2: displaycategory, Mech.
[12-10-24 12:05:03.308] LOG  : General     , 1728727503308> 0> Base.CarBattery2: Icon, CarBatteryHeavy.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.CarBattery3: displaycategory, Mech.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.CarBattery3: Icon, CarBatterySport.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.EngineDoor1: displaycategory, Mech.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.EngineDoor1: Icon, EngineDoorStandard.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.EngineDoor2: displaycategory, Mech.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.EngineDoor2: Icon, EngineDoorHeavy.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.EngineDoor3: displaycategory, Mech.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.EngineDoor3: Icon, EngineDoorSport.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.EngineParts: displaycategory, Mech.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.FrontCarDoor1: displaycategory, Mech.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.FrontCarDoor1: Icon, FrontCarDoorStandard.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.FrontCarDoor2: displaycategory, Mech.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.FrontCarDoor2: Icon, FrontCarDoorHeavy.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.FrontCarDoor3: displaycategory, Mech.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.FrontCarDoor3: Icon, FrontCarDoorSport.
[12-10-24 12:05:03.309] LOG  : General     , 1728727503309> 0> Base.FrontWindow1: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.FrontWindow1: Icon, FrontWindowStandard.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.FrontWindow2: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.FrontWindow2: Icon, FrontWindowHeavy.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.FrontWindow3: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.FrontWindow3: Icon, FrontWindowSport.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.Generator: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.GloveBox1: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.GloveBox2: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.GloveBox3: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.ModernBrake1: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.ModernBrake1: Icon, CarBrakeSupStandard.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.ModernBrake2: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.ModernBrake2: Icon, CarBrakeSupHeavy.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.ModernBrake3: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.ModernBrake3: Icon, CarBrakeSupSport.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.ModernCarMuffler1: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.ModernCarMuffler1: Icon, CarMufflerSupStandard.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.ModernCarMuffler2: displaycategory, Mech.
[12-10-24 12:05:03.310] LOG  : General     , 1728727503310> 0> Base.ModernCarMuffler2: Icon, CarMufflerSupHeavy.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernCarMuffler3: displaycategory, Mech.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernCarMuffler3: Icon, CarMufflerSupSport.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernSuspension1: displaycategory, Mech.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernSuspension1: Icon, CarSuspensionSupStandard.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernSuspension2: displaycategory, Mech.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernSuspension2: Icon, CarSuspensionSupHeavy.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernSuspension3: displaycategory, Mech.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernSuspension3: Icon, CarSuspensionSupSport.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernTire1: displaycategory, Mech.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernTire1: Icon, TireSupStandard.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernTire2: displaycategory, Mech.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernTire3: displaycategory, Mech.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.ModernTire3: Icon, TireSupSport.
[12-10-24 12:05:03.311] LOG  : General     , 1728727503311> 0> Base.NormalBrake1: displaycategory, Mech.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalBrake1: Icon, CarBrakeAvgStandard.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalBrake2: displaycategory, Mech.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalBrake2: Icon, CarBrakeAvgHeavy.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalBrake3: displaycategory, Mech.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalBrake3: Icon, CarBrakeAvgSport.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarMuffler1: displaycategory, Mech.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarMuffler1: Icon, CarMufflerAvgStandard.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarMuffler2: displaycategory, Mech.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarMuffler2: Icon, CarMufflerAvgHeavy.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarMuffler3: displaycategory, Mech.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarMuffler3: Icon, CarMufflerAvgSport.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarSeat1: displaycategory, Mech.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarSeat1: Icon, CarSeatOldStandard.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarSeat2: displaycategory, Mech.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarSeat2: Icon, CarSeatAvgStandard.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarSeat3: displaycategory, Mech.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalCarSeat3: Icon, CarSeatSupStandard.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalGasTank1: displaycategory, Mech.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalGasTank1: Icon, CarGasTankAvgStandard.
[12-10-24 12:05:03.312] LOG  : General     , 1728727503312> 0> Base.NormalGasTank2: displaycategory, Mech.
[12-10-24 12:05:03.313] LOG  : General     , 1728727503313> 0> Base.NormalGasTank2: Icon, CarGasTankAvgHeavy.
[12-10-24 12:05:03.313] LOG  : General     , 1728727503313> 0> Base.NormalGasTank3: displaycategory, Mech.
[12-10-24 12:05:03.313] LOG  : General     , 1728727503313> 0> Base.NormalGasTank3: Icon, CarGasTankAvgSport.
[12-10-24 12:05:03.313] LOG  : General     , 1728727503313> 0> Base.NormalSuspension1: displaycategory, Mech.
[12-10-24 12:05:03.313] LOG  : General     , 1728727503313> 0> Base.NormalSuspension1: Icon, CarSuspensionAvgStandard.
[12-10-24 12:05:03.313] LOG  : General     , 1728727503313> 0> Base.NormalSuspension2: displaycategory, Mech.
[12-10-24 12:05:03.313] LOG  : General     , 1728727503313> 0> Base.NormalSuspension2: Icon, CarSuspensionAvgHeavy.
[12-10-24 12:05:03.313] LOG  : General     , 1728727503313> 0> Base.NormalSuspension3: displaycategory, Mech.
[12-10-24 12:05:03.313] LOG  : General     , 1728727503313> 0> Base.NormalSuspension3: Icon, CarSuspensionAvgSport.
