[30-09-24 18:24:46.911] LOG  : General     , 1727713486911> 0> Tsarcraft.VinylBoneyMRasputin(1978): DisplayCategory, MediaA.
[30-09-24 18:24:48.025] LOG  : General     , 1727713488025> 0> Base.ShrimpDumpling: DisplayCategory, FoodP.
[30-09-24 18:24:48.025] LOG  : General     , 1727713488025> 0> Base.BaloneySlice: DisplayCategory, FoodP.
[30-09-24 18:24:48.025] LOG  : General     , 1727713488025> 0> Base.SushiEgg: DisplayCategory, FoodP.
[30-09-24 18:24:48.025] LOG  : General     , 1727713488025> 0> Base.Toast: DisplayCategory, FoodP.
[30-09-24 18:24:48.025] LOG  : General     , 1727713488025> 0> Base.Popcorn: DisplayCategory, FoodN.
[30-09-24 18:24:48.025] LOG  : General     , 1727713488025> 0> Base.Pretzel: DisplayCategory, FoodN.
[30-09-24 18:24:48.025] LOG  : General     , 1727713488025> 0> Base.Cupcake: DisplayCategory, FoodP.
[30-09-24 18:24:48.025] LOG  : General     , 1727713488025> 0> Base.Blackbeans: DisplayCategory, FoodP.
[30-09-24 18:24:48.025] LOG  : General     , 1727713488025> 0> Base.Dried_Apple: DisplayCategory, FoodN.
[30-09-24 18:24:48.025] LOG  : General     , 1727713488025> 0> Base.HomemadeTomatoesOpen: DisplayCategory, FoodP.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.JamFruit_Blueberry: DisplayCategory, FoodN.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.Big_Chocobar: DisplayCategory, FoodN.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.EggOmelette: DisplayCategory, FoodP.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.Cone: DisplayCategory, FoodN.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.CannedFruitCocktail: DisplayCategory, FoodN.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.GrapeLeaves: DisplayCategory, FoodN.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.TofuFried: DisplayCategory, FoodP.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.Tallow: DisplayCategory, FoodP.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.Dried_Mango: DisplayCategory, FoodN.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.Lime: DisplayCategory, FoodP.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.BioGasRefineryReady: DisplayCategory, FoodN.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.Corn: DisplayCategory, FoodP.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.Dandelions: DisplayCategory, FoodP.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.SaucePan_Uncook_OrangeMarmalade: DisplayCategory, FoodN.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.GrilledCheese: DisplayCategory, FoodP.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.Dried_Radish: DisplayCategory, FoodN.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.RicePot: DisplayCategory, FoodP.
[30-09-24 18:24:48.026] LOG  : General     , 1727713488026> 0> Base.BigPepper2: DisplayCategory, FoodN.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.SalamiHomemadePre: DisplayCategory, FoodP.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.GlassTumblerWater: DisplayCategory, FoodB.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.DoughnutJelly: DisplayCategory, FoodP.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.BagelPlain: DisplayCategory, FoodP.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.Prepared_PepperJalapeno: DisplayCategory, FoodP.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.JamFruit_Blackberry: DisplayCategory, FoodN.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.OmeletteRecipe: DisplayCategory, FoodP.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.Dried_Pumpkin: DisplayCategory, FoodN.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.Acorn: DisplayCategory, FoodP.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.BigPepper: DisplayCategory, FoodN.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.Centipede: DisplayCategory, FoodN.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.Dried_BaitFish: DisplayCategory, FoodN.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.JarPickle_Cabbage_Ready: DisplayCategory, FoodN.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.CannedBolognese: DisplayCategory, FoodN.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.SackProduce_Lettuce: DisplayCategory, FoodP.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.PeanutButter: DisplayCategory, FoodN.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.Big_RabbitJerky: DisplayCategory, FoodN.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.Prepared_Corn: DisplayCategory, FoodP.
[30-09-24 18:24:48.027] LOG  : General     , 1727713488027> 0> Base.Peas: DisplayCategory, FoodP.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.Pear: DisplayCategory, FoodP.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.Big_Molotov_Beer: DisplayCategory, WepBomb.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.CakeChocolate: DisplayCategory, FoodP.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.Butter: DisplayCategory, FoodN.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.CannedPeaches: DisplayCategory, FoodN.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.FruitSalad: DisplayCategory, FoodP.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.HomemadeMeatRaw: DisplayCategory, FoodP.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.HomemadeMeatOpen: DisplayCategory, FoodP.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.SackProduce_Broccoli: DisplayCategory, FoodP.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.PieApple: DisplayCategory, FoodP.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.HomemadeMeat: DisplayCategory, FoodN.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.PotOfSoupRecipe: DisplayCategory, FoodP.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.Peppermint: DisplayCategory, FoodN.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.CookiesShortbread: DisplayCategory, FoodN.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.TomatoePasteOnPot: DisplayCategory, FoodP.
[30-09-24 18:24:48.028] LOG  : General     , 1727713488028> 0> Base.Dried_PepperHabanero: DisplayCategory, FoodN.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.Squid: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.Steak: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.Macandcheese: DisplayCategory, FoodN.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.Sliced_Grapes: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.SackProduce_Eggplant: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.Salami: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.PepperHabanero: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.CakeStrawberryShortcake: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.DriedFoodMagazine4: DisplayCategory, LitR.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.Pepperoni: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.DriedFoodMagazine2: DisplayCategory, LitR.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.DriedFoodMagazine3: DisplayCategory, LitR.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.PieWholeRawSweet: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.RicePan: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.DriedKidneyBeans: DisplayCategory, FoodN.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.DoughRolled: DisplayCategory, FoodN.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.DeadBird: DisplayCategory, FoodP.
[30-09-24 18:24:48.029] LOG  : General     , 1727713488029> 0> Base.Lard: DisplayCategory, FoodN.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.SaucePan_PeachJam: DisplayCategory, FoodN.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.SackProduce_Leek: DisplayCategory, FoodP.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.BakingTray_Muffin_Recipe: DisplayCategory, FoodP.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.PorkChop: DisplayCategory, FoodP.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.Big_RawChickenFillet: DisplayCategory, FoodP.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.SaltedMeatPre: DisplayCategory, FoodP.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.RicePaper: DisplayCategory, FoodN.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.PieWholeRaw: DisplayCategory, FoodP.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.JamFruit_Cherry: DisplayCategory, FoodN.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.Big_Tincanbomb: DisplayCategory, WepBomb.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.GummyWorms: DisplayCategory, FoodN.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.CookieChocolateChipDough: DisplayCategory, FoodP.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.FatOnPan: DisplayCategory, FoodP.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.Taco: DisplayCategory, FoodP.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.GingerRoot: DisplayCategory, FoodP.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.Basil: DisplayCategory, FoodN.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.RockCandy: DisplayCategory, FoodN.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.JamMarmalade: DisplayCategory, FoodN.
[30-09-24 18:24:48.030] LOG  : General     , 1727713488030> 0> Base.CannedEggplant: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.SaucePan_Uncook_CherryJam: DisplayCategory, FoodN.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.SackProduce_RedRadish: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.Big_CoffeePet: DisplayCategory, FoodN.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.TacoShell: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.DriedBlackBeans: DisplayCategory, FoodN.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.CookieJelly: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.CakeRedVelvet: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.CannedTomato2: DisplayCategory, FoodN.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.Icing: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.CannedCornOpen: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.CookiesShortbreadDough: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.Oatmeal: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.Big_PuRamen: DisplayCategory, FoodN.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.Cheese: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.Dried_Peach: DisplayCategory, FoodN.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.JarPickle_Cucumber: DisplayCategory, FoodN.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.Pizza: DisplayCategory, FoodP.
[30-09-24 18:24:48.031] LOG  : General     , 1727713488031> 0> Base.CannedPeasOpen: DisplayCategory, FoodP.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.FrogMeat: DisplayCategory, FoodP.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.Biscuit: DisplayCategory, FoodP.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.BigSugarBrown2: DisplayCategory, FoodN.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.Perogies: DisplayCategory, FoodP.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.Cereal: DisplayCategory, FoodN.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.Big_RamenNoodles: DisplayCategory, FoodN.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.CannedMilk: DisplayCategory, FoodN.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.Dried_Lime: DisplayCategory, FoodN.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.Sliced_Mango: DisplayCategory, FoodP.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.Dried_Corn: DisplayCategory, FoodN.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.Big_RawBaconFillet: DisplayCategory, FoodP.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.MintCandy: DisplayCategory, FoodN.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.Maggots: DisplayCategory, FoodN.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.FishFried: DisplayCategory, FoodP.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.TallowOnPan: DisplayCategory, FoodP.
[30-09-24 18:24:48.032] LOG  : General     , 1727713488032> 0> Base.Dried_Cherry: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488032> 0> Base.Snoball: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.CannedSardinesOpen: DisplayCategory, FoodP.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Big_Jerky: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Twinkie: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.TinnedBeans: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.CannedCabbage: DisplayCategory, FoodP.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Chicken: DisplayCategory, FoodP.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.GlassWineWater: DisplayCategory, FoodB.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.CookiesSugar: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Oregano: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.SushiFish: DisplayCategory, FoodP.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Beverage: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.QuaggaCakes: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Big_Juice_FruitPunch: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Sliced_Apple: DisplayCategory, FoodP.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Sliced_Lime: DisplayCategory, FoodP.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Pasta: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Dried_Pear: DisplayCategory, FoodN.
[30-09-24 18:24:48.033] LOG  : General     , 1727713488033> 0> Base.Dried_Eggplant: DisplayCategory, FoodN.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.Bread: DisplayCategory, FoodP.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.JarPickle_Radish_Ready: DisplayCategory, FoodN.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.Sliced_Cherry: DisplayCategory, FoodP.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.Dried_Blackberry: DisplayCategory, FoodN.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.BookTailoring1: DisplayCategory, LitS.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.BookTailoring2: DisplayCategory, LitS.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.BookTailoring3: DisplayCategory, LitS.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.BookTailoring4: DisplayCategory, LitS.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.BookTailoring5: DisplayCategory, LitS.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.BigSugar: DisplayCategory, FoodN.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.Grapes: DisplayCategory, FoodP.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.PotOfStew: DisplayCategory, FoodP.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.Parsley: DisplayCategory, FoodN.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.Baloney: DisplayCategory, FoodP.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.FishFillet: DisplayCategory, FoodP.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.BaguetteSandwich: DisplayCategory, FoodP.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.SaucePan_GrapeJam: DisplayCategory, FoodN.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.Dried_Zucchini: DisplayCategory, FoodN.
[30-09-24 18:24:48.034] LOG  : General     , 1727713488034> 0> Base.Carrots: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.DeadRabbit: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.BagelSesame: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.BerryBlack: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.Tortilla: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.HomemadeMushroomsNew: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.HottieZ: DisplayCategory, LitE.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.CerealBowl: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.Sliced_Pear: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.Sandwich: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.Seaweed: DisplayCategory, FoodN.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.Painauchocolat: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.Big_Juice_Lemonade: DisplayCategory, FoodN.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.HomemadeBerryNew: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.SackProduce_BellPepper: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.CannedFruitBeverage: DisplayCategory, FoodN.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.TunaTinOpen: DisplayCategory, FoodP.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.SpoonMagazineBrewing: DisplayCategory, LitR.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.ComicBook: DisplayCategory, LitE.
[30-09-24 18:24:48.035] LOG  : General     , 1727713488035> 0> Base.HalloweenPumpkin: DisplayCategory, FoodP.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.NoodleSoup: DisplayCategory, FoodP.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.BreadSlices: DisplayCategory, FoodP.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.TVDinner: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.SaucePan_Uncook_PeachJam: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.Dried_PepperJalapeno: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.SaucePan_Uncook_AppleJam: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.GlueOnPan: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.WatermelonSmashed: DisplayCategory, FoodP.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.PastaPot: DisplayCategory, FoodP.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.GrahamCrackers: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.Crayfish: DisplayCategory, FoodP.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.CannedPotato2: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.HerbalistMag: DisplayCategory, LitR.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.VodkaBrewReady: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.Plonkies: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.WafflesRecipe: DisplayCategory, FoodP.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.Violets: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.Big_Juice_OrangeJuice: DisplayCategory, FoodN.
[30-09-24 18:24:48.036] LOG  : General     , 1727713488036> 0> Base.WildGarlic2: DisplayCategory, FoodN.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.CannedLeek: DisplayCategory, FoodP.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.Banana: DisplayCategory, FoodP.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.Dried_Banana: DisplayCategory, FoodN.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.Dried_Squid: DisplayCategory, FoodN.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.CannedPotato: DisplayCategory, FoodP.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.Millipede2: DisplayCategory, FoodN.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.Processedcheese: DisplayCategory, FoodP.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.CakeCheeseCake: DisplayCategory, FoodP.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.Dried_Grapes: DisplayCategory, FoodN.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.DeadRat: DisplayCategory, FoodP.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.SaltedMeat: DisplayCategory, FoodP.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.Sliced_Pineapple: DisplayCategory, FoodP.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.TVMagazine: DisplayCategory, LitE.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.DogfoodOpen: DisplayCategory, FoodP.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.Big_RawSteakFillet: DisplayCategory, FoodP.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.Thistle: DisplayCategory, FoodN.
[30-09-24 18:24:48.037] LOG  : General     , 1727713488037> 0> Base.CannedChili: DisplayCategory, FoodN.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.PastaBowl: DisplayCategory, FoodP.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.Lemon: DisplayCategory, FoodP.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.SquidCalamari: DisplayCategory, FoodP.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.AmericanLadyCaterpillar: DisplayCategory, FoodN.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.PizzaWhole: DisplayCategory, FoodP.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.Sliced_Orange: DisplayCategory, FoodP.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.DriedWhiteBeans: DisplayCategory, FoodN.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.SilkMothCaterpillar: DisplayCategory, FoodN.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.SoapOnPan: DisplayCategory, FoodN.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.MixedVegetables: DisplayCategory, FoodP.
[30-09-24 18:24:48.038] LOG  : General     , 1727713488038> 0> Base.Candycane: DisplayCategory, FoodN.
