[13-10-24 01:12:32.609] LOG  : General     , 1728774752609> 0> Base.Master V2 Remote: displaycategory, Elec.
[13-10-24 01:12:33.408] LOG  : General     , 1728774753408> 0> AuthenticZClothing.Bag_B4BHolly_Tier_3: displaycategory, ClothBack.
[13-10-24 01:12:33.408] LOG  : General     , 1728774753408> 0> AuthenticZClothing.Bag_B4BHoffman: weightreduction, 85.
[13-10-24 01:12:33.408] LOG  : General     , 1728774753408> 0> AuthenticZClothing.Bag_B4BHoffman: weight, 0.6.
[13-10-24 01:12:33.408] LOG  : General     , 1728774753408> 0> AuthenticZClothing.Bag_B4BHoffman: capacity, 26.
[13-10-24 01:12:33.408] LOG  : General     , 1728774753408> 0> AuthenticZClothing.Bag_B4BHoffman: runspeedmodifier, 0.99.
[13-10-24 01:12:33.408] LOG  : General     , 1728774753408> 0> AuthenticZClothing.Bag_B4BHoffman: displaycategory, ClothBack.
[13-10-24 01:12:33.408] LOG  : General     , 1728774753408> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_1: weightreduction, 85.
[13-10-24 01:12:33.408] LOG  : General     , 1728774753408> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_1: weight, 0.6.
[13-10-24 01:12:33.408] LOG  : General     , 1728774753408> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_1: capacity, 27.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_1: runspeedmodifier, 0.99.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_1: displaycategory, ClothBack.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_2: weightreduction, 85.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_2: weight, 0.6.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_2: capacity, 28.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_2: runspeedmodifier, 0.99.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_2: displaycategory, ClothBack.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_3: weightreduction, 85.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_3: weight, 0.6.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_3: capacity, 29.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_3: runspeedmodifier, 0.99.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BHoffman_Tier_3: displaycategory, ClothBack.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BEvangelo: weightreduction, 85.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BEvangelo: weight, 0.6.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BEvangelo: capacity, 26.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BEvangelo: runspeedmodifier, 0.99.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BEvangelo: displaycategory, ClothBack.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_1: weightreduction, 85.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_1: weight, 0.6.
[13-10-24 01:12:33.409] LOG  : General     , 1728774753409> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_1: capacity, 27.
[13-10-24 01:12:33.410] LOG  : General     , 1728774753410> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_1: runspeedmodifier, 0.99.
[13-10-24 01:12:33.410] LOG  : General     , 1728774753410> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_1: displaycategory, ClothBack.
[13-10-24 01:12:33.410] LOG  : General     , 1728774753410> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_2: weightreduction, 85.
[13-10-24 01:12:33.410] LOG  : General     , 1728774753410> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_2: weight, 0.6.
[13-10-24 01:12:33.410] LOG  : General     , 1728774753410> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_2: capacity, 28.
[13-10-24 01:12:33.410] LOG  : General     , 1728774753410> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_2: runspeedmodifier, 0.99.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_2: displaycategory, ClothBack.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_3: weightreduction, 85.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_3: weight, 0.6.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_3: capacity, 29.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_3: runspeedmodifier, 0.99.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BEvangelo_Tier_3: displaycategory, ClothBack.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker: weightreduction, 85.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker: weight, 0.6.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker: capacity, 26.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker: runspeedmodifier, 0.99.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker: displaycategory, ClothBack.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker_Tier_1: weightreduction, 85.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker_Tier_1: weight, 0.6.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker_Tier_1: capacity, 27.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker_Tier_1: runspeedmodifier, 0.99.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker_Tier_1: displaycategory, ClothBack.
[13-10-24 01:12:33.411] LOG  : General     , 1728774753411> 0> AuthenticZClothing.Bag_B4BWalker_Tier_2: weightreduction, 85.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_B4BWalker_Tier_2: weight, 0.6.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_B4BWalker_Tier_2: capacity, 28.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_B4BWalker_Tier_2: runspeedmodifier, 0.99.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_B4BWalker_Tier_2: displaycategory, ClothBack.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_B4BWalker_Tier_3: weightreduction, 85.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_B4BWalker_Tier_3: weight, 0.6.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_B4BWalker_Tier_3: capacity, 29.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_B4BWalker_Tier_3: runspeedmodifier, 0.99.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_B4BWalker_Tier_3: displaycategory, ClothBack.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_1: weightreduction, 90.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_1: weight, 0.75.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_1: capacity, 29.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_1: runspeedmodifier, 0.99.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_1: displaycategory, ClothBack.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_2: weightreduction, 90.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_2: weight, 0.75.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_2: capacity, 30.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_2: runspeedmodifier, 0.99.
[13-10-24 01:12:33.412] LOG  : General     , 1728774753412> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_2: displaycategory, ClothBack.
[13-10-24 01:12:33.413] LOG  : General     , 1728774753413> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_3: weightreduction, 90.
[13-10-24 01:12:33.413] LOG  : General     , 1728774753413> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_3: weight, 0.75.
[13-10-24 01:12:33.413] LOG  : General     , 1728774753413> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_3: capacity, 31.
[13-10-24 01:12:33.413] LOG  : General     , 1728774753413> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_3: runspeedmodifier, 0.99.
[13-10-24 01:12:33.413] LOG  : General     , 1728774753413> 0> AuthenticZClothing.Bag_BigHikingBag_Tier_3: displaycategory, ClothBack.
[13-10-24 01:12:33.413] LOG  : General     , 1728774753413> 0> AuthenticZClothing.Bag_ALICEpack_Tier_1: weightreduction, 95.
[13-10-24 01:12:33.414] LOG  : General     , 1728774753414> 0> AuthenticZClothing.Bag_ALICEpack_Tier_1: weight, 1.
[13-10-24 01:12:33.414] LOG  : General     , 1728774753414> 0> AuthenticZClothing.Bag_ALICEpack_Tier_1: capacity, 36.
[13-10-24 01:12:33.414] LOG  : General     , 1728774753414> 0> AuthenticZClothing.Bag_ALICEpack_Tier_1: runspeedmodifier, 0.99.
[13-10-24 01:12:33.414] LOG  : General     , 1728774753414> 0> AuthenticZClothing.Bag_ALICEpack_Tier_1: displaycategory, ClothBack.
[13-10-24 01:12:33.414] LOG  : General     , 1728774753414> 0> AuthenticZClothing.Bag_ALICEpack_Tier_2: weightreduction, 95.
[13-10-24 01:12:33.414] LOG  : General     , 1728774753414> 0> AuthenticZClothing.Bag_ALICEpack_Tier_2: weight, 1.
[13-10-24 01:12:33.414] LOG  : General     , 1728774753414> 0> AuthenticZClothing.Bag_ALICEpack_Tier_2: capacity, 37.
[13-10-24 01:12:33.414] LOG  : General     , 1728774753414> 0> AuthenticZClothing.Bag_ALICEpack_Tier_2: runspeedmodifier, 0.99.
[13-10-24 01:12:33.414] LOG  : General     , 1728774753414> 0> AuthenticZClothing.Bag_ALICEpack_Tier_2: displaycategory, ClothBack.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Tier_3: weightreduction, 95.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Tier_3: weight, 1.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Tier_3: capacity, 38.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Tier_3: runspeedmodifier, 0.99.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Tier_3: displaycategory, ClothBack.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_1: weightreduction, 95.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_1: weight, 1.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_1: capacity, 36.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_1: runspeedmodifier, 0.99.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_1: displaycategory, ClothBack.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_2: weightreduction, 95.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_2: weight, 1.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_2: capacity, 37.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_2: runspeedmodifier, 0.99.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_2: displaycategory, ClothBack.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_3: weightreduction, 95.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_3: weight, 1.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_3: capacity, 38.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_3: runspeedmodifier, 0.99.
[13-10-24 01:12:33.415] LOG  : General     , 1728774753415> 0> AuthenticZClothing.Bag_ALICEpack_Army_Tier_3: displaycategory, ClothBack.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo: weightreduction, 95.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo: weight, 1.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo: capacity, 35.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo: runspeedmodifier, 0.99.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo: displaycategory, ClothBack.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_1: weightreduction, 95.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_1: weight, 1.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_1: capacity, 36.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_1: runspeedmodifier, 0.99.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_1: displaycategory, ClothBack.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_2: weightreduction, 95.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_2: weight, 1.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_2: capacity, 37.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_2: runspeedmodifier, 0.99.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_2: displaycategory, ClothBack.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_3: weightreduction, 95.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_3: weight, 1.
[13-10-24 01:12:33.416] LOG  : General     , 1728774753416> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_3: capacity, 38.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_3: runspeedmodifier, 0.99.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ALICEpack_UrbanCamo_Tier_3: displaycategory, ClothBack.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_1: weightreduction, 95.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_1: weight, 1.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_1: capacity, 36.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_1: runspeedmodifier, 0.99.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_1: displaycategory, ClothBack.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_2: weightreduction, 95.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_2: weight, 1.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_2: capacity, 37.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_2: runspeedmodifier, 0.99.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_2: displaycategory, ClothBack.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_3: weightreduction, 95.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_3: weight, 1.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_3: capacity, 38.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_3: runspeedmodifier, 0.99.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_ARVN_Rucksack_Tier_3: displaycategory, ClothBack.
[13-10-24 01:12:33.417] LOG  : General     , 1728774753417> 0> AuthenticZClothing.Bag_Satchel: weightreduction, 95.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_Satchel: weight, 0.5.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_Satchel: capacity, 16.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_Satchel: canbeequipped, FannyPackBack.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_Satchel: bodylocation, Nose.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_Satchel: clothingitemextra, Bag_Satchel.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_Satchel: clothingitemextraoption, FannyPack_WearBack.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_Satchel: displaycategory, ClothBack.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltFront: weightreduction, 95.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltFront: weight, 0.1.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltFront: capacity, 4.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltFront: runspeedmodifier, 0.99.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltFront: displaycategory, ClothBag.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltFront_Loose: weightreduction, 95.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltFront_Loose: weight, 0.1.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltFront_Loose: capacity, 4.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltFront_Loose: runspeedmodifier, 0.99.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltFront_Loose: displaycategory, ClothBag.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltDesert: weightreduction, 95.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltDesert: weight, 0.1.
[13-10-24 01:12:33.418] LOG  : General     , 1728774753418> 0> AuthenticZClothing.Bag_UtilityBeltDesert: capacity, 4.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_UtilityBeltDesert: runspeedmodifier, 0.99.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_UtilityBeltDesert: displaycategory, ClothBag.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_UtilityBeltDesert_Loose: weightreduction, 95.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_UtilityBeltDesert_Loose: weight, 0.1.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_UtilityBeltDesert_Loose: capacity, 4.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_UtilityBeltDesert_Loose: runspeedmodifier, 0.99.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_UtilityBeltDesert_Loose: displaycategory, ClothBag.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_MilitaryWebbing_AZ: capacity, 6.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_MilitaryWebbing_AZ: weightreduction, 95.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_MilitaryWebbing_AZ: runspeedmodifier, 0.99.
[13-10-24 01:12:33.419] LOG  : General     , 1728774753419> 0> AuthenticZClothing.Bag_MilitaryWebbing_AZ: displaycategory, ClothBody.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> AuthenticZClothing.Bag_MilitaryWebbingTightened_AZ: capacity, 6.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> AuthenticZClothing.Bag_MilitaryWebbingTightened_AZ: weightreduction, 95.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> AuthenticZClothing.Bag_MilitaryWebbingTightened_AZ: runspeedmodifier, 0.99.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> AuthenticZClothing.Bag_MilitaryWebbingTightened_AZ: displaycategory, ClothBody.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.CCW_FannyPack: weightreduction, 95.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.CCW_FannyPack: weight, 0.1.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.CCW_FannyPack: capacity, 4.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.CCW_FannyPack: runspeedmodifier, 0.99.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.CCW_Purse: weightreduction, 70.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.CCW_Purse: weight, 0.25.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.CCW_Purse: capacity, 16.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.CCW_Purse: displaycategory, Cont.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.Bag_Police: weightreduction, 80.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.Bag_Police: weight, 0.5.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.Bag_Police: capacity, 23.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.Bag_Police: runspeedmodifier, 0.99.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.Bag_Police: displaycategory, Cont.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.Bag_Bugout: weightreduction, 80.
[13-10-24 01:12:33.420] LOG  : General     , 1728774753420> 0> Base.Bag_Bugout: weight, 0.5.
[13-10-24 01:12:33.421] LOG  : General     , 1728774753421> 0> Base.Bag_Bugout: capacity, 23.
[13-10-24 01:12:33.421] LOG  : General     , 1728774753421> 0> Base.Bag_Bugout: runspeedmodifier, 0.99.
[13-10-24 01:12:33.421] LOG  : General     , 1728774753421> 0> Base.Bag_Bugout: displaycategory, Cont.
[13-10-24 01:12:33.421] LOG  : General     , 1728774753421> 0> Base.BookCarpentry1: displayname, Carpentry Vol.1: Beginner.
[13-10-24 01:12:33.421] LOG  : General     , 1728774753421> 0> Base.BookCarpentry1: DisplayCategory, LitS.
[13-10-24 01:12:33.421] LOG  : General     , 1728774753421> 0> Base.BookCarpentry2: displayname, Carpentry Vol.2: Intermediate.
