[23-09-24 13:53:30.199] LOG  : General     , 1727092410199> 0> FunctionalAppliances.FAPotatoWedges: DisplayCategory, FoodP.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Mov_BinRound: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Mov_Birdbath: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Mov_SatelliteDish: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Mov_RoadCone: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Mov_RoadCone2: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.brokenglass_1_0: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.brokenglass_1_1: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.brokenglass_1_2: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.brokenglass_1_3: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Mov_HotdogMachine: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Mov_PopcornMachine: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Mov_SodaMachine: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Mov_NapkinDispenser: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Mov_WaterDispenser: displaycategory, Furn.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Baseball: displaycategory, Junk.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Basketball: displaycategory, Junk.
[23-09-24 13:53:30.896] LOG  : General     , 1727092410896> 0> Base.Bell: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Bricktoys: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Button: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.CatToy: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.ChessBlack: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.ChessWhite: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Cologne: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Comb: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Corkscrew: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Crayons: displaycategory, LitW.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.CreditCard: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Cube: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Dart: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.DogChew: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Doll: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.TinCanEmpty: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Football: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Football2: displaycategory, Junk.
[23-09-24 13:53:30.897] LOG  : General     , 1727092410897> 0> Base.Frame: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.GolfBall: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.KnittingNeedles: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Lamp: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Lipstick: displaycategory, Appear.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Male_Undies: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Mirror: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Money: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Perfume: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.PoolBall: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.PopEmpty: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Razor: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.RubberBand: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Rubberducky: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Rubberducky2: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Sponge: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.TennisBall: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Toothbrush: displaycategory, Junk.
[23-09-24 13:53:30.898] LOG  : General     , 1727092410898> 0> Base.Toothpaste: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.ToyBear: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.ToyCar: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.UnusableMetal: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.Wallet: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.Wallet2: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.Wallet3: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.Wallet4: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.Yoyo: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.BeerCanEmpty: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.CameraFilm: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.Chopsticks: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.Cork: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.Doodle: displaycategory, LitW.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.FountainCup: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.GrillBrush: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.KatePic: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.Leash: displaycategory, Junk.
[23-09-24 13:53:30.899] LOG  : General     , 1727092410899> 0> Base.MetalDrum: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.OvenMitt: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.PaperNapkins: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.Pinecone: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.PlasticTray: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.Plate: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.PlateBlue: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.PlateFancy: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.PlateOrange: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.Pop2Empty: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.Pop3Empty: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.SoccerBall: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.Spatula: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.Straw: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.Tongs: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.WaterDish: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.CarvingFork: displaycategory, WepMelee.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.GamePieceBlack: displaycategory, Junk.
[23-09-24 13:53:30.900] LOG  : General     , 1727092410900> 0> Base.GamePieceRed: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.GamePieceWhite: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.HolePuncher: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.KitchenTongs: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.PokerChips: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.Stapler: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.Staples: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.BackgammonBoard: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.CheckerBoard: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.CuttingBoardPlastic: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.CuttingBoardWooden: displaycategory, Junk.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.CarKey: displaycategory, Key.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.Key1: displaycategory, Key.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.Key2: displaycategory, Key.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.Key3: displaycategory, Key.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.Key4: displaycategory, Key.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.Key5: displaycategory, Key.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.MarchRidgeMap: displaycategory, LitC.
[23-09-24 13:53:30.901] LOG  : General     , 1727092410901> 0> Base.MuldraughMap: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.RiversideMap: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.RosewoodMap: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.WestpointMap: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.Map: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.LouisvilleMap1: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.LouisvilleMap2: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.LouisvilleMap3: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.LouisvilleMap4: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.LouisvilleMap5: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.LouisvilleMap6: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.LouisvilleMap7: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.LouisvilleMap8: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.LouisvilleMap9: displaycategory, LitC.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.Eraser: displaycategory, LitW.
[23-09-24 13:53:30.902] LOG  : General     , 1727092410902> 0> Base.Journal: displaycategory, LitW.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.Notebook: displaycategory, LitW.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.Pencil: displaycategory, LitW.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.SheetPaper2: displaycategory, LitW.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.BigGasTank1: displaycategory, Mech.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.BigGasTank1: Icon, CarGasTankSupStandard.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.BigGasTank2: displaycategory, Mech.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.BigGasTank2: Icon, CarGasTankSupHeavy.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.BigGasTank3: displaycategory, Mech.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.BigGasTank3: Icon, CarGasTankSupSport.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.BigTrunk1: displaycategory, Mech.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.BigTrunk2: displaycategory, Mech.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.BigTrunk3: displaycategory, Mech.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.CarBattery1: displaycategory, Mech.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.CarBattery1: Icon, CarBatteryStandard.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.CarBattery2: displaycategory, Mech.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.CarBattery2: Icon, CarBatteryHeavy.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.CarBattery3: displaycategory, Mech.
[23-09-24 13:53:30.903] LOG  : General     , 1727092410903> 0> Base.CarBattery3: Icon, CarBatterySport.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.EngineDoor1: displaycategory, Mech.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.EngineDoor1: Icon, EngineDoorStandard.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.EngineDoor2: displaycategory, Mech.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.EngineDoor2: Icon, EngineDoorHeavy.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.EngineDoor3: displaycategory, Mech.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.EngineDoor3: Icon, EngineDoorSport.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.EngineParts: displaycategory, Mech.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.FrontCarDoor1: displaycategory, Mech.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.FrontCarDoor1: Icon, FrontCarDoorStandard.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.FrontCarDoor2: displaycategory, Mech.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.FrontCarDoor2: Icon, FrontCarDoorHeavy.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.FrontCarDoor3: displaycategory, Mech.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.FrontCarDoor3: Icon, FrontCarDoorSport.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.FrontWindow1: displaycategory, Mech.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.FrontWindow1: Icon, FrontWindowStandard.
[23-09-24 13:53:30.904] LOG  : General     , 1727092410904> 0> Base.FrontWindow2: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.FrontWindow2: Icon, FrontWindowHeavy.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.FrontWindow3: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.FrontWindow3: Icon, FrontWindowSport.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.Generator: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.GloveBox1: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.GloveBox2: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.GloveBox3: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernBrake1: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernBrake1: Icon, CarBrakeSupStandard.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernBrake2: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernBrake2: Icon, CarBrakeSupHeavy.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernBrake3: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernBrake3: Icon, CarBrakeSupSport.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernCarMuffler1: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernCarMuffler1: Icon, CarMufflerSupStandard.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernCarMuffler2: displaycategory, Mech.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernCarMuffler2: Icon, CarMufflerSupHeavy.
[23-09-24 13:53:30.905] LOG  : General     , 1727092410905> 0> Base.ModernCarMuffler3: displaycategory, Mech.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernCarMuffler3: Icon, CarMufflerSupSport.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernSuspension1: displaycategory, Mech.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernSuspension1: Icon, CarSuspensionSupStandard.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernSuspension2: displaycategory, Mech.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernSuspension2: Icon, CarSuspensionSupHeavy.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernSuspension3: displaycategory, Mech.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernSuspension3: Icon, CarSuspensionSupSport.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernTire1: displaycategory, Mech.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernTire1: Icon, TireSupStandard.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernTire2: displaycategory, Mech.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernTire3: displaycategory, Mech.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.ModernTire3: Icon, TireSupSport.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.NormalBrake1: displaycategory, Mech.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.NormalBrake1: Icon, CarBrakeAvgStandard.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.NormalBrake2: displaycategory, Mech.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.NormalBrake2: Icon, CarBrakeAvgHeavy.
[23-09-24 13:53:30.906] LOG  : General     , 1727092410906> 0> Base.NormalBrake3: displaycategory, Mech.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalBrake3: Icon, CarBrakeAvgSport.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarMuffler1: displaycategory, Mech.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarMuffler1: Icon, CarMufflerAvgStandard.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarMuffler2: displaycategory, Mech.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarMuffler2: Icon, CarMufflerAvgHeavy.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarMuffler3: displaycategory, Mech.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarMuffler3: Icon, CarMufflerAvgSport.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarSeat1: displaycategory, Mech.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarSeat1: Icon, CarSeatOldStandard.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarSeat2: displaycategory, Mech.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarSeat2: Icon, CarSeatAvgStandard.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarSeat3: displaycategory, Mech.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalCarSeat3: Icon, CarSeatSupStandard.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalGasTank1: displaycategory, Mech.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalGasTank1: Icon, CarGasTankAvgStandard.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalGasTank2: displaycategory, Mech.
[23-09-24 13:53:30.907] LOG  : General     , 1727092410907> 0> Base.NormalGasTank2: Icon, CarGasTankAvgHeavy.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalGasTank3: displaycategory, Mech.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalGasTank3: Icon, CarGasTankAvgSport.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalSuspension1: displaycategory, Mech.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalSuspension1: Icon, CarSuspensionAvgStandard.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalSuspension2: displaycategory, Mech.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalSuspension2: Icon, CarSuspensionAvgHeavy.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalSuspension3: displaycategory, Mech.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalSuspension3: Icon, CarSuspensionAvgSport.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalTire1: displaycategory, Mech.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalTire1: Icon, TireAvgStandard.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalTire2: displaycategory, Mech.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalTire2: Icon, TireAvgHeavy.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalTire3: displaycategory, Mech.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalTire3: Icon, TireAvgSport.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalTrunk1: displaycategory, Mech.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalTrunk2: displaycategory, Mech.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.NormalTrunk3: displaycategory, Mech.
[23-09-24 13:53:30.908] LOG  : General     , 1727092410908> 0> Base.OldBrake1: displaycategory, Mech.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldBrake1: Icon, CarBrakeOldStandard.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldBrake2: displaycategory, Mech.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldBrake2: Icon, CarBrakeOldHeavy.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldBrake3: displaycategory, Mech.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldBrake3: Icon, CarBrakeOldSport.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldCarMuffler1: displaycategory, Mech.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldCarMuffler1: Icon, CarMufflerOldStandard.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldCarMuffler2: displaycategory, Mech.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldCarMuffler2: Icon, CarMufflerOldHeavy.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldCarMuffler3: displaycategory, Mech.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldCarMuffler3: Icon, CarMufflerOldSport.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldTire1: displaycategory, Mech.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldTire1: Icon, TireOldStandard.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldTire2: displaycategory, Mech.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldTire2: Icon, TireOldHeavy.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldTire3: displaycategory, Mech.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.OldTire3: Icon, TireOldSport.
[23-09-24 13:53:30.909] LOG  : General     , 1727092410909> 0> Base.RearCarDoor1: displaycategory, Mech.
[23-09-24 13:53:30.910] LOG  : General     , 1727092410910> 0> Base.RearCarDoor1: Icon, RearCarDoorStandard.
[23-09-24 13:53:30.910] LOG  : General     , 1727092410910> 0> Base.RearCarDoor2: displaycategory, Mech.
[23-09-24 13:53:30.910] LOG  : General     , 1727092410910> 0> Base.RearCarDoor2: Icon, RearCarDoorHeavy.
[23-09-24 13:53:30.910] LOG  : General     , 1727092410910> 0> Base.RearCarDoor3: displaycategory, Mech.
[23-09-24 13:53:30.910] LOG  : General     , 1727092410910> 0> Base.RearCarDoor3: Icon, RearCarDoorSport.
